,Trait Accession,Trait Name,odds ratio,exact p-value,adj p-value,Total number of related genes in database,Number of related genes in user/study list
120,TO_0000152,panicle number,2.526297239,0.080222995,0.188605252,110,4
121,TO_0000890,seed coat proportion,4.460874636,0.080529014,0.188605252,32,2
122,TO_0006055,selenium content,1.647272615,0.080830822,0.188605252,584,14
123,TO_0001016,relative chlorophyll content,13.37773893,0.085233939,0.193980587,6,1
124,TO_0000194,globular embryo,0.765009021,0.0858381,0.193980587,3772,43
125,TO_0002628,fruit shape,1.874076772,0.084378584,0.193980587,294,8
126,TO_0000101,broad-leaved weed,4.316937835,0.084915113,0.193980587,33,2
127,TO_0002639,shoot branching,1.298479932,0.088149102,0.197646814,2429,46
128,TO_0020099,nitrate transport,1.489293341,0.089899522,0.200009014,875,19
129,TO_0002617,fruit color,2.146050503,0.090856439,0.200583062,161,5
130,TO_0012010,leaf area duration,4.055234561,0.093895674,0.205710371,35,2
131,TO_0000078,root dry weight,1.45254459,0.09757254,0.211190232,1086,23
132,TO_0000608,sodium content,1.508333333,0.097868644,0.211190232,773,17
133,TO_0000050,inflorescence branching,1.428131829,0.100892263,0.214489477,1104,23
134,TO_0006013,carpel number,2.079312271,0.100147345,0.214489477,166,5
135,TO_0000515,relative growth rate,1.538017874,0.105057299,0.2217018,669,15
136,TO_0020093,nitrogen content,2.0288339,0.107908509,0.226056512,170,5
137,TO_0000580,cytoplasmic male sterility,1.231825501,0.108924593,0.226531581,3674,66
138,TO_0006039,petal number,1.742835483,0.114699208,0.236824983,355,9
139,TO_0000278,root to shoot ratio,1.47368138,0.120105853,0.246216998,884,19
140,TO_0000582,inflorescence number,3.431172909,0.122295443,0.248927604,41,2
141,TO_0000167,cytokinin sensitivity,2.019219417,0.13192151,0.266630094,205,6
142,TO_0000343,grass weed,3.111885552,0.142229653,0.285453919,45,2
143,TO_0000409,peak viscosity,1.968510697,0.153066507,0.305070053,140,4
144,TO_0006069,DSDS50,6.080472558,0.163206921,0.323037148,12,1
145,TO_0000053,pollen sterility,1.885235523,0.169910111,0.333474244,146,4
146,TO_0000360,leaf elongation rate,1.731504061,0.170803881,0.333474244,238,6
147,TO_0000143,relative biomass,5.144925587,0.187692783,0.363971815,14,1
148,TO_0000075,light sensitivity,1.398417178,0.190123628,0.366211284,832,17
149,TO_0000346,tiller number,1.298088905,0.196501289,0.374664185,1264,24
150,TO_0002665,root hair length,1.59062583,0.197122968,0.374664185,388,9
151,TO_0020057,wheat leaf rust disease resistance,1.45335641,0.200024066,0.377677019,518,11
152,TO_1000009,branch angle,1.86992573,0.202206874,0.37930309,184,5
153,TO_0006059,cadmium concentration,1.704576289,0.20479683,0.381666819,282,7
154,TO_0020116,photochemical quenching,1.282860882,0.208130883,0.385377829,1332,25
155,TO_0000104,floury endosperm,1.770833333,0.21611225,0.397591126,194,5
156,TO_0000473,grain shattering,1.484494872,0.218551815,0.399518285,415,9
157,TO_0000180,spikelet fertility,1.42791393,0.220565397,0.399691522,575,12
158,TO_0000255,sheath blight disease resistance,2.306785966,0.221431889,0.399691522,60,2
159,TO_0002638,shoot meristem development,1.841451404,0.229073451,0.410900503,112,3
160,TO_0002681,leaf curling,1.288417324,0.230564878,0.411006956,1220,23
161,TO_0000233,root volume,3.934217743,0.234537169,0.415507206,18,1
162,TO_0006014,phyllotaxy,1.357307317,0.237055903,0.417392909,806,16
163,TO_0020098,nitrate sensitivity,1.776205326,0.244691278,0.423050584,116,3
164,TO_0006047,calcium concentration,1.328516573,0.244425786,0.423050584,823,16
165,TO_0001027,net photosynthetic rate,1.309318835,0.242906301,0.423050584,1044,20
166,TO_0000504,leaf temperature,1.375806577,0.24850744,0.42707566,646,13
167,TO_0002758,flag leaf lamina width,0.628956578,0.251645475,0.429894352,856,8
168,TO_0012002,leaf chlorophyll content,1.400926042,0.25809081,0.438296228,488,10
169,TO_0000612,grain density,0.754253409,0.263289598,0.444494791,1697,19
170,TO_0000071,anthocyanin content,1.229006134,0.280001,0.469943199,1500,27
171,TO_0000206,leaf angle,1.581227537,0.290378833,0.484527472,260,6
172,TO_0000131,leaf water potential,1.334350629,0.29465331,0.488817918,563,11
173,TO_0000496,carotenoid content,1.376314627,0.301433515,0.494350964,596,12
174,TO_0000328,sucrose content,1.376314627,0.301433515,0.494350964,596,12
175,TO_0020055,wheat stripe rust disease resistance,0.885464091,0.304785434,0.497008065,6235,82
176,TO_0000492,leaf shape,1.174355911,0.312937275,0.507418067,2500,43
177,TO_0006060,leaf chlorosis,1.233896672,0.316759018,0.510729429,1106,20
178,TO_0002603,petal size,1.449643104,0.319012532,0.511489367,283,6
179,TO_0020117,non photochemical quenching,1.255493852,0.320968093,0.511765793,1142,21
180,TO_0000696,starch content,1.163123152,0.326053987,0.51700273,2641,45
181,TO_0000124,flag leaf angle,2.572171418,0.33030141,0.520859915,27,1
182,TO_0000396,grain yield trait,1.332881702,0.334118707,0.523551572,461,9
183,TO_0000431,ear length,1.693279699,0.335656757,0.523551572,81,2
184,TO_0000547,primary branch number,1.538096101,0.339414343,0.526550899,178,4
185,TO_0000952,stem weight,1.446502895,0.364722923,0.562771391,189,4
186,TO_0006031,inflorescence size,1.486180758,0.393810178,0.568135469,92,2
187,TO_0002746,fruit weight,0.51605637,0.393699456,0.568135469,391,3
188,TO_0000953,stem number,0.303470015,0.390027781,0.568135469,221,1
189,TO_1000008,branch position,1.502892521,0.388612978,0.568135469,91,2
190,TO_0002659,pistil number,1.502892521,0.388612978,0.568135469,91,2
191,TO_0000325,soluble protein content,1.253405118,0.393933653,0.568135469,871,16
192,TO_0006043,boron content,2.089780012,0.387395204,0.568135469,33,1
193,TO_0002685,crown root number,2.089780012,0.387395204,0.568135469,33,1
194,TO_0000578,root fresh weight,1.312108703,0.387026074,0.568135469,364,7
195,TO_0000300,glucose content,1.519984098,0.383396032,0.568135469,90,2
196,TO_0000173,ethylene sensitivity,0.834072953,0.379019697,0.568135469,2265,28
197,TO_0000372,amylose to amylopectin ratio,1.502892521,0.388612978,0.568135469,91,2
198,TO_0000072,awn length,2.157211069,0.378229141,0.568135469,32,1
199,TO_0000462,gelatinization temperature,1.469836286,0.398987083,0.570983974,93,2
200,TO_0000524,submergence tolerance,0.655286244,0.399887731,0.570983974,617,6
201,TO_0000516,relative root length,1.277346624,0.407005509,0.578100894,641,12
202,TO_0000640,total root number,1.318778879,0.408900633,0.578100894,414,8
