,Ontology Term,Preferred Name,odds ratio,exact p-value,adj p-value,Reference Genes,User/Study Genes
294,TO_0000770,bacterial blight disease resistance,1.0586231579986671,0.8520529458137511,0.912707562295408,239,8
295,TO_0000206,leaf angle,0.8453530489715166,0.8585681128346918,0.9165794718100088,260,7
296,TO_0000619,vivipary,0.8960254807719119,0.8786079760079548,0.934815220264356,351,10
297,TO_0006014,phyllotaxy,1.0189358799454298,0.91941428246614,0.9749493733533565,806,26
298,TO_0000159,blue light sensitivity,0.9859340851473031,1.0,1.0,32,1
299,TO_0002682,plant cell shape,0.6366531165311653,1.0,1.0,49,1
300,TO_0000289,carotene content,0.7640379403794038,1.0,1.0,41,1
301,TO_0006031,inflorescence size,0.6790277401283094,1.0,1.0,92,2
302,TO_0006030,spikelet meristem identity,0.8607334645594052,1.0,1.0,219,6
303,TO_0000167,cytokinin sensitivity,0.9214021259622399,1.0,1.0,205,6
304,TO_0000291,carbohydrate content,0.9389376366286131,1.0,1.0,369,11
305,TO_0006013,carpel number,0.9491259524876737,1.0,1.0,166,5
306,TO_1000009,branch angle,0.853546713064987,1.0,1.0,184,5
307,TO_0002758,flag leaf lamina width,0.9954188636806591,1.0,1.0,856,27
308,TO_0000668,mycotoxin content,0.7453962588406372,1.0,1.0,42,1
309,TO_0002600,floral organ size,0.7736513960422878,1.0,1.0,81,2
310,TO_0002626,fruit length,0.8260089357650333,1.0,1.0,38,1
311,TO_0000572,petal color,0.7836356055868251,1.0,1.0,40,1
312,TO_0000027,culm number,0.9663800884096249,1.0,1.0,261,8
313,TO_0000543,leaf nitrogen content,0.7836356055868251,1.0,1.0,40,1
314,TO_0012010,leaf area duration,0.8989159891598916,1.0,1.0,35,1
315,0000061,Stem solidness,0.9046249178078275,1.0,1.0,313,9
